Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
366,2023-01-03,122.98272705078125,128.7154254385632,122.0977455022682,128.1057773178633,112117500
367,2023-01-04,124.25119018554688,126.51280869797894,122.99255318811515,124.77234386397704,89113600
368,2023-01-05,122.93354034423828,125.63764564758301,122.67788488068354,125.00832719533365,80962700
369,2023-01-06,127.45677185058594,128.11558844506558,122.80571484542136,123.90702590791659,87754700
370,2023-01-09,127.9779281616211,131.18353181246084,127.72227268810083,128.2925949020793,70790800
371,2023-01-10,128.5482635498047,129.06941726347972,125.98182082594903,128.08610610497774,63896200
372,2023-01-11,131.26222229003906,131.2818777117784,128.2827904454057,129.05959971999454,69458900
373,2023-01-12,131.1835479736328,132.019353473187,129.2464237509339,131.6457054280313,71379600
374,2023-01-13,132.510986328125,132.6683196907436,129.46273119909978,129.82655147153693,57809700
375,2023-01-17,133.67129516601562,134.99875596810472,131.8915047175872,132.5798193932039,63646600
376,2023-01-18,132.95346069335938,136.29671143241532,132.77645694611428,134.5365916913309,69672800
377,2023-01-19,133.01248168945312,133.97612225756075,131.53751520588366,131.8423392118264,58280400
378,2023-01-20,135.56907653808594,135.71658218378784,131.97999755468973,133.02230476612493,80223600
379,2023-01-23,138.75503540039062,140.92815961902411,135.59860004292767,135.81492969380113,81760300
380,2023-01-24,140.1512908935547,140.77078151554045,137.9585119517288,137.9683396585056,66435100
381,2023-01-25,139.49252319335938,140.05300275817604,136.49342112366645,138.53871015801215,65799300
382,2023-01-26,141.55746459960938,141.8426182007582,139.53183124401355,140.78064047196506,54105100
383,2023-01-27,143.4945831298828,144.77289057415175,140.69215546789684,140.77082215722044,70555800
384,2023-01-30,140.6134796142578,143.12092578303154,140.46598895897412,142.54077586673455,64015300
385,2023-01-31,141.88194274902344,141.93111130163894,139.9054929686203,140.31848180314623,65874500
386,2023-02-01,143.00294494628906,144.16325999959267,138.96155019582764,141.56731895311415,77663600
387,2023-02-02,148.30294799804688,148.65692549625814,145.69716527119672,146.4149779827907,118339000
388,2023-02-03,151.9215545654297,154.75349514117664,145.36287177724367,145.5595309829737,154357300
389,2023-02-06,149.19778442382812,150.54493079230497,148.26364190831887,150.02377712562708,69858300
390,2023-02-07,152.06906127929688,152.63938353904294,148.12598902287087,148.12598902287087,83322600
391,2023-02-08,149.38461303710938,152.0002240332312,148.64712974900903,151.31190929849808,64120100
392,2023-02-09,148.35215759277344,151.75442098443708,147.90967054867934,151.21359681759392,56007100
393,2023-02-10,148.71653747558594,149.04152741969745,146.95372962642622,147.19009004770194,57450700
394,2023-02-13,151.513427734375,151.9171894883824,148.62791894110939,148.65746211757215,62199000
395,2023-02-14,150.8732452392578,151.4345954776921,148.56878800441328,149.80964612462722,61707600
396,2023-02-15,152.970947265625,153.13836360909013,150.5581593331422,150.7846620299423,65573800
397,2023-02-16,151.37551879882812,153.95572244720177,151.02098573800205,151.17854429955682,68167900
398,2023-02-17,150.23313903808594,150.67630162569367,148.55896091432058,150.03617955770974,59144100
399,2023-02-21,146.2249298095703,149.0021077790729,146.15600076088242,147.91880821074704,58867200
400,2023-02-22,146.64842224121094,147.67262055430007,144.9250004924314,146.60902132895072,51011300
401,2023-02-23,147.13095092773438,148.0566768897737,145.0037677901394,147.810473815914,48394200
402,2023-02-24,144.48179626464844,144.95450188621834,143.50682683230983,144.8757151114499,55469600
403,2023-02-27,145.67343139648438,146.90444675275575,145.2105684203629,145.46662923177482,44998500
404,2023-02-28,145.1712188720703,146.81585399639758,144.60002580056587,144.81668575965537,50547000
405,2023-03-01,143.10308837890625,144.9939263960711,142.80764165155819,144.60000744430354,55479000
406,2023-03-02,143.69398498535156,144.481837933212,141.71450238763347,142.1872231725768,52238100
407,2023-03-03,148.7362060546875,148.8149928448926,145.0924034132026,145.79161175732688,70732300
408,2023-03-06,151.49368286132812,153.9261705239575,151.12930710707832,151.4542819528968,87558000
409,2023-03-07,149.2975616455078,151.69064849711955,148.83469862838186,151.3656586110283,56182000
410,2023-03-08,150.5482635498047,151.1391569879468,149.5240652876753,150.48917721139935,47204800
411,2023-03-09,148.3029022216797,152.1929083670859,147.9483691410299,151.2277963802791,53833600
412,2023-03-10,146.2446746826172,148.64761988981078,145.36819204822754,147.92871088177273,68572400
413,2023-03-13,148.1847686767578,150.81421679148337,145.45683328087654,145.56516327932812,84457100
414,2023-03-14,150.27252197265625,151.07021762009597,147.82034869008896,148.98242012042218,73695900
415,2023-03-15,150.6664581298828,150.92250395033966,147.64307677577528,148.8937927615987,77167900
416,2023-03-16,153.48306274414062,154.08379908219612,149.3369947344381,149.84910153746466,76161100
417,2023-03-17,152.6459197998047,154.35949876084172,151.93685367986137,153.70951897971963,98944600
418,2023-03-20,155.0094757080078,155.42311016638172,151.80883520237765,152.71487589238697,73641400
419,2023-03-21,156.86093139648438,156.9791040860205,154.16253977805687,154.93070734117964,73938300
420,2023-03-22,155.43296813964844,159.6775078686916,155.41326768087632,156.880643804934,75701800
